44,9.04,9.1,91,0.25781
62,7.93,11.02,81,0.15799
19,7.55,6.27,68,0.11244
13,12.49,nan,100,0.43304
23,9.84,9.96,91,0.47457
42,7.42,7.48,64,0.09578
48,6.75,7.06,69,0.1338
78,7.74,6.68,83,0.21395
22,6.27,9.28,55,0.10736
13,9.3,5.57,85,0.26249
32,7.91,15.35,69,0.18213
26,6.39,5.33,65,0.12571
22,7.28,7.23,64,0.13187
53,10.66,7.69,91,0.43009
44,8.6,7.54,73,0.17658
16,10.4,22.22,81,0.2548
31,6.88,6.59,65,0.13612
31,5.57,7.58,77,0.13784
15,9.2,8.55,73,0.18624
23,7.61,8.63,74,0.15757
20,8.23,5.56,85,0.20375
13,6.42,15.07,62,0.14299
46,6.33,5.68,78,0.15246
69,2.05,3.1,52,0.04708
15,7.79,7.28,60,0.11686
34,5.43,6.07,59,0.09421
71,8.32,19.29,96,0.28629
11,12.62,nan,100,0.23948
17,8.57,7.55,71,0.14834
28,6.99,10.14,64,0.11705
21,6.38,11.23,56,0.12157
19,7.12,18.71,74,0.20089
8,10.88,21.54,88,0.24471
25,6.15,6.34,64,0.13817
22,5.96,6.95,59,0.09934
35,3.85,5.03,46,0.06692
38,2.87,4.16,53,0.07967
32,3.67,6.69,53,0.09558
31,5.59,8.04,57,0.12093
21,4.19,7.76,52,0.09423
23,6.81,7.17,65,0.0875
24,7.23,11.43,71,0.15291
20,7.85,7.86,75,0.1517
18,5.13,13.75,50,0.10011
42,2.67,3.58,60,0.11212
27,4.54,4.77,56,0.08789
18,3.49,5.84,44,0.06278
19,6.91,9.35,63,0.11426
17,4.39,6.6,47,0.07968
27,2.18,5.28,41,0.07188
18,4.87,7.42,56,0.10349
12,12.9,19.48,92,0.43886
19,4.6,6.74,57,0.10884
23,0.43,3.79,26,0.017
12,5.57,12.12,57,0.13098
15,4.2,7.77,53,0.09617
23,6.13,7.3,70,0.09186
36,3.69,2.78,53,0.03712
37,3.21,5.55,51,0.09181
15,-0.04,2.67,27,-0.0019
31,-1.39,0.8,32,-0.04474
13,1.22,3.88,38,0.06628
18,-4.12,0.4,61,-0.00538
16,3.47,5.6,50,0.09328
24,1.72,10.66,17,0.02031
28,2.77,4.48,46,0.07946
26,8.01,4.92,77,0.12699
36,3.38,7.73,39,0.0451
43,2.13,1.07,60,0.01236
107,-0.0,1.33,43,-2e-05
207,1.01,1.12,56,0.0142
44,1.78,1.67,50,0.02103
28,3.82,2.19,68,0.04612
48,-0.68,1.07,44,-0.00309
54,0.98,1.38,50,0.01083
34,-0.03,1.25,44,-0.00066
117,1.99,0.97,68,0.03348
44,1.26,2.11,43,0.02071
48,-0.69,1.18,40,-0.01291
40,-0.68,1.66,33,-0.00884
97,3.02,1.32,66,0.04158
27,-1.07,1.17,41,-0.00328
32,1.39,2.19,47,0.02554
35,2.74,2.28,49,0.02489
67,3.51,2.53,51,0.0275
173,3.93,1.48,74,0.08544
50,4.24,4.16,42,0.03416
38,3.93,3.58,42,0.02721
61,-1.52,1.17,38,-0.01192
78,7.3,3.39,62,0.05198
33,5.09,5.63,57,0.08605
38,2.47,3.31,39,0.0257
28,5.52,4.79,43,0.03599
32,3.49,2.95,44,0.02295
44,2.56,3.01,43,0.02787
71,1.79,1.74,46,0.01029
34,-0.53,0.98,47,-0.00236
36,1.96,1.02,57,0.00673
63,-0.88,1.49,33,-0.01371
50,-0.25,0.72,56,-0.00384
27,-0.65,0.6,59,-0.00197
60,2.36,1.49,56,0.02797
26,2.61,2.41,57,0.0582
128,0.81,1.08,57,0.02766
36,0.92,1.08,57,0.02232
50,-0.24,1.26,42,-0.00378
32,-2.28,0.7,44,-0.01137
15,-10.04,0.38,27,-0.02744
178,0.59,2.21,36,0.00869
46,0.43,1.21,50,0.01042
32,-0.68,0.95,47,-0.0057
32,1.61,1.83,44,0.01111
16,0.22,0.63,62,0.00213
45,-0.26,0.61,60,-0.00398
15,0.43,1.4,47,0.00934
51,-0.09,1.27,43,-0.00187
31,-2.08,0.67,45,-0.02151
50,-1.52,0.85,42,-0.0156
148,0.35,1.42,44,0.00386
31,-0.98,0.43,65,-0.01063
43,0.75,1.49,47,0.01026
48,-0.25,0.93,50,-0.00314
38,0.79,0.96,55,0.00469
39,0.42,1.23,49,0.00744
44,-0.31,1.0,48,-0.00359
2127,2.42,1.42,62,0.04334
97,1.98,1.04,62,0.02043
28,-0.11,0.52,64,-0.00369
43,-1.15,0.71,49,-0.02205
33,-3.02,0.46,39,-0.0651
68,-0.81,0.87,46,-0.01406
41,-0.3,1.54,37,-0.00755
40,-2.73,0.62,38,-0.04228
40,-0.51,0.49,62,-0.01175
55,-1.36,0.88,38,-0.03423
44,9.04,9.1,91,0.25781
